2026-06-08 20:23:59,863 | [test_run] | mlops.utils | percentile_distribution:118 | INFO | Computing percentile distribution for column 'credit_limit' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 20:23:59,867 | [test_run] | mlops.utils | percentile_distribution:143 | INFO | Removed duplicate bin edges if any.
2026-06-08 20:23:59,870 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin below_P01: 10000.0 to 20000.0, Count: 2471
2026-06-08 20:23:59,870 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P01_P05: 20000.0 to 30000.0, Count: 1610
2026-06-08 20:23:59,870 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P05_P10: 30000.0 to 50000.0, Count: 3595
2026-06-08 20:23:59,870 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P10_P25: 50000.0 to 140000.0, Count: 7614
2026-06-08 20:23:59,870 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P25_P50: 140000.0 to 240000.0, Count: 7643
2026-06-08 20:23:59,871 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P50_P75: 240000.0 to 360000.0, Count: 4591
2026-06-08 20:23:59,871 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P75_P90: 360000.0 to 430000.0, Count: 1001
2026-06-08 20:23:59,871 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P90_P95: 430000.0 to 500000.0, Count: 1269
2026-06-08 20:23:59,871 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P95_P99: 500000.0 to 1000000.0, Count: 206
2026-06-08 20:23:59,904 | [test_run] | mlops.utils | percentile_distribution:118 | INFO | Computing percentile distribution for column 'age' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 20:23:59,909 | [test_run] | mlops.utils | percentile_distribution:143 | INFO | Removed duplicate bin edges if any.
2026-06-08 20:23:59,911 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin below_P01: 21.0 to 22.0, Count: 627
2026-06-08 20:23:59,911 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P01_P05: 22.0 to 23.0, Count: 931
2026-06-08 20:23:59,911 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P05_P10: 23.0 to 25.0, Count: 2313
2026-06-08 20:23:59,911 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P10_P25: 25.0 to 28.0, Count: 4142
2026-06-08 20:23:59,911 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P25_P50: 28.0 to 34.0, Count: 7683
2026-06-08 20:23:59,912 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P50_P75: 34.0 to 41.0, Count: 6854
2026-06-08 20:23:59,912 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P75_P90: 41.0 to 49.0, Count: 4770
2026-06-08 20:23:59,912 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P90_P95: 49.0 to 53.0, Count: 1380
2026-06-08 20:23:59,912 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P95_P99: 53.0 to 60.0, Count: 1028
2026-06-08 20:23:59,912 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin above_P99: 60.0 to 79.0, Count: 272
2026-06-08 20:23:59,924 | [test_run] | mlops.utils | percentile_distribution:118 | INFO | Computing percentile distribution for column 'bill_amount_sep_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 20:23:59,929 | [test_run] | mlops.utils | percentile_distribution:143 | INFO | Removed duplicate bin edges if any.
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin below_P01: -165580.0 to -81.0, Count: 302
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P01_P05: -81.0 to 0.0, Count: 2296
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P05_P10: 0.0 to 278.9, Count: 402
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P10_P25: 278.9 to 3558.75, Count: 4500
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P25_P50: 3558.75 to 22381.5, Count: 7500
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P50_P75: 22381.5 to 67091.0, Count: 7500
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P75_P90: 67091.0 to 142133.7, Count: 4500
2026-06-08 20:23:59,931 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P90_P95: 142133.7 to 201203.05, Count: 1500
2026-06-08 20:23:59,932 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P95_P99: 201203.05 to 350110.68, Count: 1200
2026-06-08 20:23:59,932 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin above_P99: 350110.68 to 964511.0, Count: 300
2026-06-08 20:23:59,944 | [test_run] | mlops.utils | percentile_distribution:118 | INFO | Computing percentile distribution for column 'bill_amount_aug_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 20:23:59,948 | [test_run] | mlops.utils | percentile_distribution:143 | INFO | Removed duplicate bin edges if any.
2026-06-08 20:23:59,950 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin below_P01: -69777.0 to -200.0, Count: 302
2026-06-08 20:23:59,950 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P01_P05: -200.0 to 0.0, Count: 2873
2026-06-08 20:23:59,950 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P05_P10: 0.0 to 2984.75, Count: 4325
2026-06-08 20:23:59,950 | [test_run] | mlops.utils | percentile_distribution:161 | INFO | Bin P10_P25: 2984.75 to 21200.0, Count: 7500
